Age,Name,Country,Sex,Date of Birth,Height cm,Weight kg,Medal winner,Gold,Silver,Bronze,Total,Sport,Number of events,Event,BMI,BMI classification
22,Brittany Elmslie,Australia,F,6/19/1994,180,69,Yes,1,1,0,2,Aquatics,2,"Swimming Women's 4 x 100m Freestyle Relay
,Swimming Women's 4 x 100m Medley Relay",21.2962963,Normal
22,Shiva Thapa,India,M,12/08/1993,169,,No,0,0,0,0,Boxing,1,Boxing Men's Bantam (56kg),,
25,Sean Safo-Antwi,Ghana,M,10/31/1990,171,69,No,0,0,0,0,Athletics,1,Athletics Men's 100m,23.59700421,Normal
27,Nadzeya Liapeshka,Belarus,F,4/26/1989,172,67,Yes,0,0,1,1,Canoe,2,"Canoe Sprint Women's Kayak Double 500m
,Canoe Sprint Women's Kayak Four 500m",22.64737696,Normal
28,Inaki Gomez,Canada,M,1/16/1988,172,59,No,0,0,0,0,Athletics,1,Athletics Men's 20km Walk,19.94321255,Normal
24,Won Jin Kim,South Korea,M,5/01/1992,168,60,No,0,0,0,0,Judo,1,Judo Men -60 kg,21.2585034,Normal
35,Jorge Lima,Portugal,M,1/29/1981,177,72,No,0,0,0,0,Sailing,1,Sailing 49er Men,22.98190175,Normal
46,Vladimir Isakov,Russian Federation,M,2/28/1970,178,83,No,0,0,0,0,Shooting,1,Shooting 10m Air Pistol Men,26.19618735,Overweight
26,Florina Pierdevara,Romania,F,3/29/1990,172,53,No,0,0,0,0,Athletics,3,"Athletics Women's 800m
,Athletics Women's 1500m
,Athletics Women's 4 x 400m Relay",17.91508924,Underweight
23,Suhrob Khodjaev,Uzbekistan,M,5/21/1993,185,120,No,0,0,0,0,Athletics,1,Athletics Men's Hammer Throw,35.06208912,Obese
31,Jonas Maciulis,Lithuania,M,2/10/1985,198,103,No,0,0,0,0,Basketball,1,Basketball Men,26.2728293,Overweight
31,Tania Cagnotto,Italy,F,5/15/1985,160,53,Yes,0,1,1,2,Aquatics,2,"Diving Women's 3m Springboard
,Diving Women's Synchronised 3m Springboard",20.703125,Normal
20,Asena Rokomarama,Fiji,F,5/02/1996,160,58,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Women,22.65625,Normal
32,Loredana Dinu,Romania,F,4/02/1984,168,60,Yes,1,0,0,1,Fencing,1,Fencing Women's Épée Team,21.2585034,Normal
34,null,Argentina,M,11/15/1982,169,56,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,19.60715661,Normal
27,Sylwester Bednarek,Poland,M,4/28/1989,194,78,No,0,0,0,0,Athletics,1,Athletics Men's High Jump,20.72483792,Normal
27,Joe Morris,United States,M,8/17/1989,178,79,No,0,0,0,0,Sailing,1,Sailing 49er Men,24.93372049,Normal
19,Ka Long Cheung,Hong Kong China,M,6/10/1997,181,68,No,0,0,0,0,Fencing,1,Fencing Men's Foil Individual,20.75638717,Normal
17,Nur Dhabitah Sabri,Malaysia,F,7/12/1999,151,53,No,0,0,0,0,Aquatics,2,"Diving Women's 10m Platform
,Diving Women's Synchronised 3m Springboard",23.24459454,Normal
22,Mihael Zgank,Slovenia,M,2/01/1994,181,90,No,0,0,0,0,Judo,1,Judo Men -90 kg,27.4716889,Overweight
19,Anton Chupkov,Russian Federation,M,2/22/1997,188,71,Yes,0,0,1,1,Aquatics,2,"Swimming Men's 200m Breaststroke
,Swimming Men's 4 x 100m Medley Relay",20.08827524,Normal
32,Tyrone Smith,Bermuda,M,8/07/1984,183,74,No,0,0,0,0,Athletics,1,Athletics Men's Long Jump,22.09680791,Normal
28,Xiaoxu Ma,China,F,6/05/1988,172,73,No,0,0,0,0,Football,1,Football Women,24.67550027,Normal
28,Jorge Luis Vivas,Colombia,M,1/22/1988,172,,No,0,0,0,0,Boxing,1,Boxing Men's Middle (75kg),,
23,Ron Darmon,Israel,M,10/30/1992,175,65,No,0,0,0,0,Triathlon,1,Triathlon Men,21.2244898,Normal
27,Davide Manenti,Italy,M,4/16/1989,177,80,No,0,0,0,0,Athletics,1,Athletics Men's 200m,25.53544639,Overweight
26,Rafal Sarnecki,Poland,M,1/08/1990,175,81,No,0,0,0,0,Cycling,2,"Cycling Track Men's Sprint
,Cycling Track Men's Team Sprint",26.44897959,Overweight
19,Andrius Sidlauskas,Lithuania,M,4/06/1997,187,77,No,0,0,0,0,Aquatics,1,Swimming Men's 100m Breaststroke,22.01950299,Normal
33,Mickael Gelabale,France,M,5/22/1983,201,90,No,0,0,0,0,Basketball,1,Basketball Men,22.27667632,Normal
24,Antoine Gakeme,Burundi,M,12/24/1991,169,60,No,0,0,0,0,Athletics,1,Athletics Men's 800m,21.0076678,Normal
24,null,Austria,M,2/20/1992,196,136,No,0,0,0,0,Athletics,1,Athletics Men's Discus Throw,35.40191587,Obese
22,Shericka Jackson,Jamaica,F,7/16/1994,173,61,Yes,0,1,1,2,Athletics,2,"Athletics Women's 400m
,Athletics Women's 4 x 400m Relay",20.38156971,Normal
25,Joshua Booth,Australia,M,10/09/1990,190,93,Yes,0,1,0,1,Rowing,1,Rowing Men's Four,25.76177285,Overweight
35,Sue Bird,United States,F,10/16/1980,175,66,Yes,1,0,0,1,Basketball,1,Basketball Women,21.55102041,Normal
36,Irina Smolnikova,Kazakhstan,F,7/21/1980,163,55,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,20.70081674,Normal
20,Monika Vasilyan,Armenia,F,10/08/1995,166,59,No,0,0,0,0,Aquatics,1,Swimming Women's 50m Freestyle,21.41094498,Normal
26,Inna Stepanova,Russian Federation,F,4/17/1990,176,63,Yes,0,1,0,1,Archery,2,"Archery Women's Individual
,Archery Women's Team",20.33832645,Normal
21,Sandie Toletti,France,F,7/13/1995,169,58,No,0,0,0,0,Football,1,Football Women,20.30741221,Normal
34,Mads Rasmussen,Denmark,M,11/24/1981,183,75,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Double Sculls,22.39541342,Normal
22,Filip Mihaljevic,Croatia,M,7/31/1994,201,114,No,0,0,0,0,Athletics,1,Athletics Men's Shot Put,28.21712334,Overweight
24,Jesse David Thielke,United States,M,6/09/1992,171,68,No,0,0,0,0,Wrestling,1,Wrestling Men's Greco-Roman 59 kg,23.25501864,Normal
32,Dorian Mortelette,France,M,11/24/1983,195,90,No,0,0,0,0,Rowing,1,Rowing Men's Pair,23.66863905,Normal
22,Phillip Chew,United States,M,5/16/1994,173,90,No,0,0,0,0,Badminton,1,Badminton Mixed Doubles,30.07116843,Obese
40,Olofunke Oshonaike,Nigeria,F,10/28/1975,167,59,No,0,0,0,0,Table Tennis,1,Table Tennis Women's Singles,21.1552942,Normal
22,Sebastian Morales,Colombia,M,8/22/1994,171,65,No,0,0,0,0,Aquatics,1,Diving Men's 3m Springboard,22.22906193,Normal
26,null,Qatar,M,6/29/1990,186,77,No,0,0,0,0,Handball,1,Handball Men,22.25690831,Normal
28,Mark Dry,Great Britain,M,10/11/1987,184,112,No,0,0,0,0,Athletics,1,Athletics Men's Hammer Throw,33.08128544,Obese
28,Kelley Hurley,United States,F,4/04/1988,176,74,No,0,0,0,0,Fencing,2,"Fencing Women's Épée Individual
,Fencing Women's Épée Team",23.88946281,Normal
20,Anastasiya Savchuk,Ukraine,F,3/02/1996,177,60,No,0,0,0,0,Aquatics,1,Synchronised Swimming Teams,19.15158479,Normal
18,Ana Konjuh,Croatia,F,12/27/1997,174,73,No,0,0,0,0,Tennis,2,"Tennis Women's Singles
,Tennis Mixed Doubles",24.11150746,Normal
34,Hassan Mabrouk,Qatar,M,7/29/1982,190,100,No,0,0,0,0,Handball,1,Handball Men,27.70083102,Overweight
28,Miranda Ayim,Canada,F,5/06/1988,190,72,No,0,0,0,0,Basketball,1,Basketball Women,19.94459834,Normal
28,Melissa Pagnotta,Canada,F,11/22/1988,180,64,No,0,0,0,0,Taekwondo,1,Taekwondo Women -67kg,19.75308642,Normal
27,Sophie Ainsworth,Great Britain,F,6/22/1989,173,68,No,0,0,0,0,Sailing,1,Sailing 49er FX Women,22.72043837,Normal
22,Abbubaker Mobara,South Africa,M,2/18/1994,175,64,No,0,0,0,0,Football,1,Football Men,20.89795918,Normal
24,Jasmin Kuelbs,Germany,F,11/07/1991,178,127,No,0,0,0,0,Judo,1,Judo Women +78 kg,40.08332281,Morbidly obese
25,Kane Radford,New Zealand,M,11/02/1990,175,79,No,0,0,0,0,Aquatics,1,Marathon Swimming Men's 10km,25.79591837,Overweight
26,Simone Ruffini,Italy,M,12/07/1989,173,67,No,0,0,0,0,Aquatics,1,Marathon Swimming Men's 10km,22.38631428,Normal
34,Borja Fernandez,Qatar,M,12/25/1981,206,110,No,0,0,0,0,Handball,1,Handball Men,25.9213875,Overweight
28,Kristina Gavnholt,Czech Republic,F,11/12/1988,177,73,No,0,0,0,0,Badminton,1,Badminton Women's Singles,23.30109483,Normal
24,Muhao Li,China,M,6/02/1992,218,115,No,0,0,0,0,Basketball,1,Basketball Men,24.19829981,Normal
19,Kaho Minagawa,Japan,F,8/20/1997,168,49,No,0,0,0,0,Gymnastics,1,Rhythmic Gymnastics Individual All-Around,17.36111111,Underweight
29,Nikolay Kovalev,Russian Federation,M,10/28/1986,177,74,No,0,0,0,0,Fencing,1,Fencing Men's Sabre Individual,23.62028791,Normal
30,Attila Kugler,Hungary,M,11/16/1986,186,89,No,0,0,0,0,Canoe,1,Canoe Sprint Men's Kayak Four 1000m,25.7255174,Overweight
26,Fengliu Zhang,China,F,11/15/1989,172,77,Yes,0,0,1,1,Wrestling,1,Wrestling Women's Freestyle 75 kg,26.02758248,Overweight
21,null,Uzbekistan,M,11/02/1994,165,,Yes,0,0,1,1,Boxing,1,Boxing Men's Bantam (56kg),,
22,Arman Hall,United States,M,2/12/1994,183,74,Yes,1,0,0,1,Athletics,2,"Athletics Men's 400m
,Athletics Men's 4 x 400m Relay",22.09680791,Normal
23,Courtney Frerichs,United States,F,1/18/1993,171,53,No,0,0,0,0,Athletics,1,Athletics Women's 3000m Steeplechase,18.12523512,Underweight
31,Marina Alabau Neira,Spain,F,8/31/1985,164,55,No,0,0,0,0,Sailing,1,Sailing RS:X Women,20.44913742,Normal
43,Veerle Dejaeghere,Belgium,F,8/01/1973,159,46,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,18.19548277,Underweight
29,Denys Molchanov,Ukraine,M,5/16/1987,190,82,No,0,0,0,0,Tennis,2,"Tennis Men's Doubles
,Tennis Mixed Doubles",22.71468144,Normal
26,Pavel Sankovich,Belarus,M,6/29/1990,182,77,No,0,0,0,0,Aquatics,1,Swimming Men's 100m Butterfly,23.24598478,Normal
19,Ned Justeen Azemia,Seychelles,M,8/21/1997,177,65,No,0,0,0,0,Athletics,1,Athletics Men's 400m Hurdles,20.74755019,Normal
24,Thi Trang (b) Vu,Vietnam,F,5/19/1992,163,58,No,0,0,0,0,Badminton,1,Badminton Women's Singles,21.8299522,Normal
26,Jana Teschke,Germany,F,11/22/1990,168,56,Yes,0,0,1,1,Hockey,1,Hockey Women,19.84126984,Normal
25,Vladimir Margaryan,Armenia,M,3/08/1991,172,,No,0,0,0,0,Boxing,1,Boxing Men's Welter (69kg),,
23,Tia-Clair Toomey,Australia,F,7/22/1993,158,58,No,0,0,0,0,Weightlifting,1,Weightlifting Women's 58kg,23.23345618,Normal
17,Daniah Hagul,Libya,F,2/07/1999,,,No,0,0,0,0,Aquatics,1,Swimming Women's 100m Breaststroke,,
27,Chia-Chia Chuang,Chinese Taipei,F,5/14/1989,179,65,No,0,0,0,0,Taekwondo,1,Taekwondo Women -67kg,20.28650791,Normal
31,Anna Malvina Svennung,Sweden,F,10/24/1984,178,74,No,0,0,0,0,Rowing,1,Rowing Women's Single Sculls,23.35563691,Normal
25,Biao Chai,China,M,10/10/1990,186,80,No,0,0,0,0,Badminton,1,Badminton Men's Doubles,23.12406059,Normal
21,Lara Butler,Cayman Islands,F,10/02/1994,172,60,No,0,0,0,0,Aquatics,1,Swimming Women's 100m Backstroke,20.2812331,Normal
21,Sebastian Starke Hedlund,Sweden,M,4/05/1995,185,77,No,0,0,0,0,Football,1,Football Men,22.49817385,Normal
24,Guanjie Johnathan Wong,Malaysia,M,8/23/1992,172,67,No,0,0,0,0,Shooting,2,"Shooting 50m Pistol Men
,Shooting 10m Air Pistol Men",22.64737696,Normal
25,Anne Terpstra,Netherlands,F,1/05/1991,166,57,No,0,0,0,0,Cycling,1,Cycling Mountain Bike Women's Cross-country,20.68515024,Normal
24,Katharina Haecker,Australia,F,7/31/1992,172,63,No,0,0,0,0,Judo,1,Judo Women -63 kg,21.29529475,Normal
32,null,Finland,F,11/09/1983,169,59,No,0,0,0,0,Sailing,1,Sailing RS:X Women,20.65754,Normal
29,Pietro Ruta,Italy,M,8/06/1987,185,70,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Four,20.45288532,Normal
28,Andreea Chitu,Romania,F,5/07/1988,157,52,No,0,0,0,0,Judo,1,Judo Women -52 kg,21.09619051,Normal
21,Marina de la Caridad Rodriguez Mitjan,Cuba,F,3/02/1995,155,62,No,0,0,0,0,Weightlifting,1,Weightlifting Women's 63kg,25.80645161,Overweight
24,null,Sweden,M,11/02/1992,191,93,No,0,0,0,0,Handball,1,Handball Men,25.49272224,Overweight
22,Amalie Iuel,Norway,F,4/17/1994,,,No,0,0,0,0,Athletics,1,Athletics Women's 400m Hurdles,,
22,Nafissatou Thiam,Belgium,F,8/19/1994,187,72,Yes,1,0,0,1,Athletics,2,"Athletics Women's High Jump
,Athletics Women's Heptathlon",20.58966513,Normal
28,Zhiwei Wang,China,M,7/18/1988,178,77,No,0,0,0,0,Shooting,1,Shooting 50m Pistol Men,24.30248706,Normal
23,Kitione Taliga,Fiji,M,4/21/1993,186,87,Yes,1,0,0,1,Rugby Sevens,1,Rugby Sevens Men,25.14741589,Overweight
26,Josh Junior,New Zealand,M,12/22/1989,189,96,No,0,0,0,0,Sailing,1,Sailing Finn Men,26.87494751,Overweight
27,Milenko Zoric,Serbia,M,4/02/1989,179,73,Yes,0,1,0,1,Canoe,2,"Canoe Sprint Men's Kayak Double 1000m
,Canoe Sprint Men's Kayak Four 1000m",22.78330889,Normal
20,Xiyu Lin,China,F,2/25/1996,171,65,No,0,0,0,0,Golf,1,Golf Women's Individual Stroke Play,22.22906193,Normal
29,Edyta Jasinska,Poland,F,11/28/1986,177,68,No,0,0,0,0,Cycling,1,Cycling Track Women's Team Pursuit,21.70512943,Normal
23,Illia Charheika,Belarus,M,4/15/1993,179,81,No,0,0,0,0,Shooting,2,"Shooting 10m Air Rifle Men
,Shooting 50m Rifle 3 Positions Men",25.28010986,Overweight
24,Shanieka Thomas,Jamaica,F,2/02/1992,181,66,No,0,0,0,0,Athletics,1,Athletics Women's Triple Jump,20.14590519,Normal
22,Baul An,South Korea,M,3/25/1994,169,66,Yes,0,1,0,1,Judo,1,Judo Men -66 kg,23.10843458,Normal
22,Jenny Lyvette Arthur,United States,F,12/11/1993,166,75,No,0,0,0,0,Weightlifting,1,Weightlifting Women's 75kg,27.21730295,Overweight
31,Wim Stroetinga,Netherlands,M,5/23/1985,176,70,No,0,0,0,0,Cycling,1,Cycling Track Men's Team Pursuit,22.5981405,Normal
25,Marjorie Mayans,France,F,11/17/1990,171,68,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Women,23.25501864,Normal
23,Felipe Aguilar,Colombia,M,1/20/1993,191,80,No,0,0,0,0,Football,1,Football Men,21.92922343,Normal
23,Brooke Crain,United States,F,4/29/1993,163,55,No,0,0,0,0,Cycling,1,Cycling BMX Women,20.70081674,Normal
30,Yusaku Kuwazuru,Japan,M,10/23/1985,188,98,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,27.7274785,Overweight
21,Luke Bezzina,Malta,M,6/07/1995,,,No,0,0,0,0,Athletics,1,Athletics Men's 100m,,
31,Marius Ziukas,Lithuania,M,6/29/1985,185,72,No,0,0,0,0,Athletics,1,Athletics Men's 20km Walk,21.03725347,Normal
29,Yuzo Kanemaru,Japan,M,11/18/1987,178,75,No,0,0,0,0,Athletics,2,"Athletics Men's 400m
,Athletics Men's 4 x 400m Relay",23.67125363,Normal
30,Anthony Fahden,United States,M,2/27/1986,181,71,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Four,21.67211013,Normal
22,Daniel Andujar,Spain,M,5/14/1994,182,78,No,0,0,0,0,Athletics,1,Athletics Men's 800m,23.54788069,Normal
36,Anna Incerti,Italy,F,1/19/1980,168,44,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,15.58956916,Underweight
23,Daniel Lowe,United States,M,11/18/1992,183,81,No,0,0,0,0,Shooting,2,"Shooting 10m Air Rifle Men
,Shooting 50m Rifle 3 Positions Men",24.18704649,Normal
26,Michelle Vittese,United States,F,12/06/1989,161,57,No,0,0,0,0,Hockey,1,Hockey Women,21.98989237,Normal
26,Adrian Blocki,Poland,M,4/11/1990,174,62,No,0,0,0,0,Athletics,1,Athletics Men's 50km Walk,20.47826661,Normal
23,Anass Ait El Abdia,Morocco,M,3/21/1993,180,66,No,0,0,0,0,Cycling,1,Cycling Road Men's Road Race,20.37037037,Normal
25,Amelia Gibson,New Zealand,F,7/05/1991,172,71,No,0,0,0,0,Hockey,1,Hockey Women,23.99945917,Normal
25,Fernando Alarza,Spain,M,3/23/1991,178,67,No,0,0,0,0,Triathlon,1,Triathlon Men,21.14631991,Normal
22,Anton Ipsen,Denmark,M,11/04/1994,186,74,No,0,0,0,0,Aquatics,2,"Swimming Men's 400m Freestyle
,Swimming Men's 1500m Freestyle",21.38975604,Normal
18,Mohamed Andhumdine Nazlati,Comoros,F,12/20/1997,160,62,No,0,0,0,0,Aquatics,1,Swimming Women's 50m Freestyle,24.21875,Normal
21,Zach Garrett,United States,M,4/08/1995,178,63,Yes,0,1,0,1,Archery,2,"Archery Men's Individual
,Archery Men's Team",19.88385305,Normal
25,Barbora Hermannova,Czech Republic,F,11/07/1990,180,79,No,0,0,0,0,Beach Volleyball,1,Beach Volleyball Women,24.38271605,Normal
18,Muenfuh Sincere,Nigeria,M,4/28/1998,170,,Yes,0,0,1,1,Football,1,Football Men,,
20,Bautista Saubidet Birkner,Argentina,M,11/28/1995,179,72,No,0,0,0,0,Sailing,1,Sailing RS:X Men,22.47120876,Normal
27,Richard Varga,Slovakia,M,1/28/1989,188,65,No,0,0,0,0,Triathlon,1,Triathlon Men,18.39067451,Underweight
19,Cam Kurle,Great Britain,M,7/19/1997,186,66,No,0,0,0,0,Aquatics,1,Swimming Men's 200m Freestyle,19.07734998,Normal
21,Laurens de Plus,Belgium,M,11/04/1995,188,67,No,0,0,0,0,Cycling,1,Cycling Road Men's Road Race,18.95654142,Normal
29,Nicolas Cuestas,Uruguay,M,12/08/1986,180,63,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,19.44444444,Normal
24,Leydi Laura Moya,Cuba,F,4/16/1992,170,68,No,0,0,0,0,Modern Pentathlon,1,Modern Pentathlon Women's Individual,23.52941176,Normal
30,Huseyin Kandemir,Turkey,M,11/09/1986,176,70,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Double Sculls,22.5981405,Normal
31,Becky Sauerbrunn,United States,F,6/06/1985,170,61,No,0,0,0,0,Football,1,Football Women,21.10726644,Normal
14,Darya Semyonova,Turkmenistan,F,5/28/2002,170,50,No,0,0,0,0,Aquatics,1,Swimming Women's 100m Breaststroke,17.30103806,Underweight
29,Benjamin Compaore,France,M,8/05/1987,189,83,No,0,0,0,0,Athletics,1,Athletics Men's Triple Jump,23.2356317,Normal
30,Ioannis Tsilis,Greece,M,7/15/1986,183,86,No,0,0,0,0,Rowing,1,Rowing Men's Four,25.68007405,Overweight
29,Cyrille Maret,France,M,8/11/1987,189,108,Yes,0,0,1,1,Judo,1,Judo Men -100 kg,30.23431595,Obese
26,Sophie Bray,Great Britain,F,5/12/1990,164,58,Yes,1,0,0,1,Hockey,1,Hockey Women,21.56454491,Normal
22,Jeong Eun Lee,South Korea,F,11/13/1994,153,40,No,0,0,0,0,Athletics,1,Athletics Women's 20km Walk,17.087445,Underweight
26,Pawel Zatorski,Poland,M,6/21/1990,184,73,No,0,0,0,0,Volleyball,1,Volleyball Men,21.56190926,Normal
28,Tina Mrak,Slovenia,F,2/06/1988,165,62,No,0,0,0,0,Sailing,1,Sailing 470 Women,22.77318641,Normal
26,Marie Yamaguchi,Japan,F,10/22/1989,159,58,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Women,22.94213045,Normal
27,Suping Meng,China,F,7/17/1989,173,120,Yes,1,0,0,1,Weightlifting,1,Weightlifting Women's +75kg,40.09489124,Morbidly obese
22,Andrea Fondelli,Italy,M,2/27/1994,190,96,Yes,0,0,1,1,Aquatics,1,Water Polo Men,26.59279778,Overweight
28,Michelle Heyman,Australia,F,7/04/1988,178,66,No,0,0,0,0,Football,1,Football Women,20.83070319,Normal
22,Marco Bueno,Mexico,M,3/31/1994,182,68,No,0,0,0,0,Football,1,Football Men,20.52892163,Normal
17,Hind Jamili,Morocco,F,12/11/1998,156,50,No,0,0,0,0,Canoe,1,Canoe Slalom Kayak (K1) Women,20.54569362,Normal
23,Ying Li,China,F,1/07/1993,170,61,No,0,0,0,0,Football,1,Football Women,21.10726644,Normal
20,Ali Khalafalla,Egypt,M,5/13/1996,182,78,No,0,0,0,0,Aquatics,1,Swimming Men's 50m Freestyle,23.54788069,Normal
22,Iakiv Khammo,Ukraine,M,6/11/1994,188,,No,0,0,0,0,Judo,1,Judo Men +100 kg,,
21,Farida Osman,Egypt,F,1/18/1995,173,63,No,0,0,0,0,Aquatics,2,"Swimming Women's 50m Freestyle
,Swimming Women's 100m Butterfly",21.0498179,Normal
25,Philip Heintz,Germany,M,2/21/1991,194,85,No,0,0,0,0,Aquatics,1,Swimming Men's 200m Individual Medley,22.58475927,Normal
23,Tom Cusack,Australia,M,3/01/1993,191,101,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,27.68564458,Overweight
27,Charlotte Mordasini,Sweden,F,12/31/1988,171,60,No,0,0,0,0,Equestrian,1,Equestrian Jumping Individual,20.51913409,Normal
33,Wesley Korir,Kenya,M,11/15/1982,177,54,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,17.23642631,Underweight
24,Noriko Taniguchi,Japan,F,11/07/1992,166,66,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Women,23.95122659,Normal
21,Giovanni Abagnale,Italy,M,1/11/1995,198,90,Yes,0,0,1,1,Rowing,1,Rowing Men's Pair,22.95684114,Normal
17,Rafael Antonio Lacayo Paladino,Nicaragua,M,11/19/1998,178,59,No,0,0,0,0,Shooting,1,Shooting 10m Air Pistol Men,18.62138619,Normal
24,Brenda Bowskill,Canada,F,4/21/1992,170,68,No,0,0,0,0,Sailing,1,Sailing Laser Radial Women,23.52941176,Normal
26,null,Mongolia,F,3/14/1990,164,51,No,0,0,0,0,Judo,1,Judo Women -48 kg,18.96192742,Normal
26,Kayla Harrison,United States,F,7/02/1990,173,74,Yes,1,0,0,1,Judo,1,Judo Women -78 kg,24.72518293,Normal
19,Mie Nielsen,Denmark,F,11/25/1996,185,68,Yes,0,0,1,1,Aquatics,3,"Swimming Women's 100m Backstroke
,Swimming Women's 4 x 100m Freestyle Relay
,Swimming Women's 4 x 100m Medley Relay",19.86851717,Normal
23,Geoffrey Kipsang Kamworor,Kenya,M,11/22/1992,172,58,No,0,0,0,0,Athletics,1,"Athletics Men's 10,000m",19.605192,Normal
30,Jan Skarnitzl,Czech Republic,M,7/11/1986,179,68,No,0,0,0,0,Cycling,1,Cycling Mountain Bike Men's Cross-country,21.22280828,Normal
27,Violah Cheptoo Lagat,Kenya,F,3/01/1989,165,,No,0,0,0,0,Athletics,1,Athletics Women's 1500m,,
28,Yekaterina Smirnova,Kazakhstan,F,5/21/1988,165,63,No,0,0,0,0,Canoe,1,Canoe Slalom Kayak (K1) Women,23.14049587,Normal
26,Marouan Chouiref,Tunisia,M,5/27/1990,195,109,No,0,0,0,0,Handball,1,Handball Men,28.66535174,Overweight
40,Aida Mohamed,Hungary,F,3/12/1976,162,58,No,0,0,0,0,Fencing,1,Fencing Women's Foil Individual,22.10028959,Normal
29,Gemma Etheridge,Australia,F,12/01/1986,169,66,Yes,1,0,0,1,Rugby Sevens,1,Rugby Sevens Women,23.10843458,Normal
26,Ferguson Cheruiyot Rotich,Kenya,M,11/30/1989,185,74,No,0,0,0,0,Athletics,1,Athletics Men's 800m,21.62162162,Normal
22,Hilal Hemed Hilal,Tanzania,M,7/12/1994,176,63,No,0,0,0,0,Aquatics,1,Swimming Men's 50m Freestyle,20.33832645,Normal
37,Aldo Montano,Italy,M,11/18/1978,184,82,No,0,0,0,0,Fencing,1,Fencing Men's Sabre Individual,24.22022684,Normal
27,Hongpin Huang,China,F,4/23/1989,195,98,No,0,0,0,0,Basketball,1,Basketball Women,25.77251808,Overweight
28,Dorlan Pabon,Colombia,M,1/24/1988,168,68,No,0,0,0,0,Football,1,Football Men,24.09297052,Normal
20,Gavin Mogopa,Botswana,M,4/02/1996,179,60,No,0,0,0,0,Judo,1,Judo Men -60 kg,18.7260073,Normal
21,Dragana Stankovic,Serbia,F,1/18/1995,195,73,Yes,0,0,1,1,Basketball,1,Basketball Women,19.19789612,Normal
31,Saman Ahmed Tahmasebi,Azerbaijan,M,7/26/1985,180,85,No,0,0,0,0,Wrestling,1,Wrestling Men's Greco-Roman 85 kg,26.2345679,Overweight
23,Valeriia Koblova Zholobova,Russian Federation,F,10/09/1992,164,58,Yes,0,1,0,1,Wrestling,1,Wrestling Women's Freestyle 58 kg,21.56454491,Normal
24,Lauren Smith,Great Britain,F,11/26/1991,170,,No,0,0,0,0,Badminton,1,Badminton Women's Doubles,,
27,Lalonde Gordon,Trinidad and Tobago,M,11/25/1988,179,83,No,0,0,0,0,Athletics,2,"Athletics Men's 400m
,Athletics Men's 4 x 400m Relay",25.9043101,Overweight
28,Maritza Guaman,Ecuador,F,1/15/1988,155,47,No,0,0,0,0,Athletics,1,Athletics Women's 20km Walk,19.56295525,Normal
26,Ryan Gregson,Australia,M,4/26/1990,174,83,No,0,0,0,0,Athletics,1,Athletics Men's 1500m,27.41445369,Overweight
30,Nicole Sifuentes,Canada,F,6/30/1986,177,55,No,0,0,0,0,Athletics,1,Athletics Women's 1500m,17.55561939,Underweight
22,Gernot Rumpler,Austria,M,2/21/1994,189,86,No,0,0,0,0,Shooting,2,"Shooting 10m Air Rifle Men
,Shooting 50m Rifle 3 Positions Men",24.07547381,Normal
22,Amalie Thomsen,Denmark,F,11/12/1994,166,60,No,0,0,0,0,Canoe,2,"Canoe Sprint Women's Kayak Double 500m
,Canoe Sprint Women's Kayak Four 500m",21.77384236,Normal
23,Danai Bhobho,Zimbabwe,F,12/01/1992,163,59,No,0,0,0,0,Football,1,Football Women,22.20633069,Normal
28,Constantin Blaha,Austria,M,12/01/1987,178,77,No,0,0,0,0,Aquatics,1,Diving Men's 3m Springboard,24.30248706,Normal
22,Pavel Janecek,Czech Republic,M,4/07/1994,195,87,No,0,0,0,0,Aquatics,1,Swimming Men's 400m Individual Medley,22.87968442,Normal
28,Yuichi Sugita,Japan,M,11/18/1988,173,66,No,0,0,0,0,Tennis,1,Tennis Men's Singles,22.05219018,Normal
24,Joffrey Lauvergne,France,M,11/30/1991,209,115,No,0,0,0,0,Basketball,1,Basketball Men,26.3272361,Overweight
19,null,Greece,F,11/19/1997,165,47,No,0,0,0,0,Gymnastics,1,Rhythmic Gymnastics Group All-Around,17.26354454,Underweight
21,Beatriz Ortiz Munoz,Spain,F,6/21/1995,176,64,No,0,0,0,0,Aquatics,1,Water Polo Women,20.66115702,Normal
